time,seq,class,rtt,hops
1035,180,1,0,3
1036,128,1,0,3
1037,435,1,0,3
1038,6,1,0,3
1039,166,1,0,3
1040,91,1,0,3
1041,124,1,0,3
1042,60,1,0,3
1043,93,1,0,3
1044,565,2,0,3
1045,76,1,0,3
1046,91,1,0,3
1047,56,1,0,3
1048,0,1,0,3
1049,94,1,0,3
1050,128,1,0,3
1051,112,1,0,3
1052,1051,7,23.4886,3
1053,94,1,0,3
1054,84,1,0,3
1055,1054,3,25.0886,3
1056,7,1,0,3
1057,60,1,0,3
1059,69,1,0,3
1060,1057,19,-1,-1
1060,81,1,0,3
1061,1060,2,23.6806,3
1062,128,1,0,3
1063,62,1,0,3
1064,83,1,0,3
1065,97,1,0,3
1066,7,1,0,3
1067,338,1,0,3
1068,121,1,0,3
1069,32,1,0,3
1070,93,1,0,3
1071,85,1,0,3
1072,5,1,0,3
1073,5,1,0,3
1074,51,1,0,3
1075,320,2,0,3
1076,81,1,0,3
1077,41,1,0,3
1078,62,1,0,3
1079,62,1,0,3
1080,52,1,0,3
1081,94,1,0,3
1082,22,1,0,3
1083,163,1,0,3
1084,166,1,0,3
1085,128,1,0,3
1086,51,1,0,3
1087,102,1,0,3
1088,22,1,0,3
1089,91,1,0,3
1090,97,1,0,3
1091,92,1,0,3
1092,163,1,0,3
1093,39,1,0,3
1094,27,1,0,3
1095,5,1,0,3
1096,84,1,0,3
1097,3,1,0,3
1098,166,1,0,3
1099,112,1,0,3
1100,180,1,0,3
1101,81,1,0,3
1102,153,1,0,3
1103,961,2,0,3
1104,1,1,0,3
1105,60,1,0,3
1106,3,1,0,3
1107,7,1,0,3
1108,128,1,0,3
1109,180,1,0,3
1110,124,1,0,3
1111,25,1,0,3
1112,57,1,0,3
1113,10,1,0,3
1114,84,1,0,3
1115,14,1,0,3
1116,32,1,0,3
1117,97,1,0,3
1118,42,1,0,3
1119,891,2,0,3
1120,14,1,0,3
1121,85,1,0,3
1122,112,1,0,3
1123,100,1,0,3
1124,12,1,0,3
1125,3,1,0,3
1126,128,1,0,3
1127,102,1,0,3
1128,81,1,0,3
1129,128,1,0,3
1130,83,1,0,3
1131,6,1,0,3
1132,121,1,0,3
1133,124,1,0,3
1134,83,1,0,3
1135,253,2,0,3
1136,338,1,0,3
1137,102,1,0,3
1138,163,1,0,3
1139,41,1,0,3
1140,25,1,0,3
1141,60,1,0,3
1142,3,1,0,3
1143,121,1,0,3
1144,5,1,0,3
1145,17,1,0,3
1146,51,1,0,3
1147,6,1,0,3
1148,60,1,0,3
